GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
54663	2.26e-21	1.01e-25	0.2453	-10.4852619	-2.57	5006.09	WDR74	WD repeat domain 74
26821	6.50e-11	5.79e-15	0.279	-7.8083495	-2.18	20.53	SNORA74A	small nucleolar RNA, H/ACA box 74A
692225	1.96e-07	3.57e-11	0.2402	-6.6208248	-1.59	114.65	SNORD94	small nucleolar RNA, C/D box 94
677841	1.96e-07	3.32e-11	0.262	-6.6314528	-1.74	25.69	SNORA74B	small nucleolar RNA, H/ACA box 74B
677832	1.96e-07	4.36e-11	0.2628	-6.5911736	-1.73	63.5	SNORA53	small nucleolar RNA, H/ACA box 53
692086	3.80e-07	1.02e-10	0.1951	-6.4646323	-1.26	712.67	SNORD17	small nucleolar RNA, C/D box 17
26870	4.86e-05	1.52e-08	0.3141	-5.6597004	-1.78	1438.7	RNU1-2	RNA, U1 small nuclear 2
677808	7.65e-05	2.73e-08	0.2726	-5.5581409	-1.51	44.11	SNORA23	small nucleolar RNA, H/ACA box 23
692148	1.52e-04	6.08e-08	0.1782	-5.4164739	-9.65e-01	6397.16	SCARNA10	small Cajal body-specific RNA 10
6060	1.48e-03	6.59e-07	0.3625	-4.9731237	-1.80	2281.88	RNU1-4	RNA, U1 small nuclear 4
677775	1.51e-03	7.40e-07	0.1673	-4.9504974	-8.28e-01	3416.8	SCARNA5	small Cajal body-specific RNA 5
3310	1.62e-03	8.64e-07	0.7499	-4.9202852	-3.69	116.5	HSPA6	heat shock protein family A (Hsp70) member 6
26863	1.62e-03	9.36e-07	0.3218	-4.9045449	-1.58	271.2	RNVU1-18	RNA, variant U1 small nuclear 18
245912	1.70e-03	1.06e-06	0.1971	4.8794262	9.62e-01	46.62	DEFB109A	defensin beta 109A (pseudogene)
26832	3.08e-03	2.06e-06	0.4014	-4.7473892	-1.91	43.42	RNU5B-1	RNA, U5B small nuclear 1
105379574	3.27e-03	2.33e-06	0.3202	-4.7224264	-1.51	222.19	LOC105379574	uncharacterized LOC105379574
780852	3.94e-03	2.99e-06	0.4053	-4.6717409	-1.89	1585.18	SNORD3B-2	small nucleolar RNA, C/D box 3B-2
107987206	4.06e-03	3.44e-06	0.1567	-4.6428285	-7.28e-01	417692.86	LOC107987206	replaced by ID 6029
6029	4.06e-03	3.44e-06	0.1567	-4.6428436	-7.28e-01	417690.15	RN7SL1	RNA component of signal recognition particle 7SL1
23409	4.16e-03	3.70e-06	0.2455	-4.6272819	-1.14	635.08	SIRT4	sirtuin 4
1869	6.30e-03	5.90e-06	0.0895	-4.5298716	-4.05e-01	135.51	E2F1	E2F transcription factor 1
3053	8.26e-03	8.10e-06	0.2043	4.4625864	9.12e-01	98.03	SERPIND1	serpin family D member 1
107986082	8.46e-03	8.67e-06	0.218	4.4479249	9.69e-01	20.1	LOC107986082	uncharacterized LOC107986082
283726	1.04e-02	1.12e-05	0.1437	4.3935564	6.31e-01	90.65	SAXO2	stabilizer of axonemal microtubules 2
22925	1.11e-02	1.24e-05	0.1135	4.3703609	4.96e-01	346.39	PLA2R1	phospholipase A2 receptor 1
105379524	1.13e-02	1.36e-05	0.4032	-4.3504993	-1.75	5132.68	LOC105379524	uncharacterized LOC105379524
33	1.13e-02	1.32e-05	0.1283	4.3566554	5.59e-01	68.47	ACADL	acyl-CoA dehydrogenase long chain
3645	1.15e-02	1.46e-05	0.3983	4.3345764	1.73	20.66	INSRR	insulin receptor related receptor
64922	1.15e-02	1.49e-05	0.1195	4.3299976	5.17e-01	45.08	LRRC19	leucine rich repeat containing 19
105378179	1.23e-02	1.69e-05	0.1503	-4.3019651	-6.46e-01	484034.63	LOC105378179	uncharacterized LOC105378179
378706	1.23e-02	1.69e-05	0.1503	-4.3020085	-6.46e-01	484015.89	RN7SL2	RNA component of signal recognition particle 7SL2
54716	1.52e-02	2.17e-05	0.3281	4.2467591	1.39	120.07	SLC6A20	solute carrier family 6 member 20
3553	1.60e-02	2.55e-05	0.5942	-4.2106935	-2.50	50.17	IL1B	interleukin 1 beta
83943	1.60e-02	2.52e-05	0.074	4.2129098	3.12e-01	809.7	IMMP2L	inner mitochondrial membrane peptidase subunit 2
26835	1.60e-02	2.54e-05	0.3476	-4.2111767	-1.46	117.22	RNU4-1	RNA, U4 small nuclear 1
647042	1.60e-02	2.57e-05	0.12	4.208456	5.05e-01	51.03	GOLGA6L10	golgin A6 family like 10
780853	1.90e-02	3.14e-05	0.4236	-4.1633513	-1.76	3033.1	SNORD3C	small nucleolar RNA, C/D box 3C
26869	1.95e-02	3.39e-05	0.4309	-4.1457254	-1.79	7682.99	RNU1-3	RNA, U1 small nuclear 3
107985155	1.95e-02	3.34e-05	0.2191	4.1489578	9.09e-01	13.6	LOC107985155	uncharacterized LOC107985155
105373455	1.97e-02	3.52e-05	0.1445	4.1371832	5.98e-01	30.58	LOC105373455	
26871	2.05e-02	4.01e-05	0.4239	-4.1067246	-1.74	8752.35	RNU1-1	RNA, U1 small nuclear 1
9816	2.05e-02	3.99e-05	0.0448	-4.1082682	-1.84e-01	293.27	URB2	URB2 ribosome biogenesis homolog
286133	2.05e-02	3.86e-05	0.238	4.1155789	9.79e-01	70.1	SCARA5	scavenger receptor class A member 5
3145	2.05e-02	3.86e-05	0.0931	-4.1157007	-3.83e-01	95.67	HMBS	hydroxymethylbilane synthase
677847	2.10e-02	4.32e-05	0.1778	-4.0898724	-7.27e-01	33.5	SNORA81	small nucleolar RNA, H/ACA box 81
780854	2.10e-02	4.26e-05	0.3915	-4.0927616	-1.60	2427.14	SNORD3D	small nucleolar RNA, C/D box 3D
26864	2.17e-02	4.64e-05	0.4349	-4.0728973	-1.77	5214.74	RNVU1-7	RNA, variant U1 small nuclear 7
378707	2.17e-02	4.57e-05	0.1759	-4.0766855	-7.17e-01	98827.26	RN7SL3	RNA component of signal recognition particle 7SL3
100302143	2.18e-02	4.75e-05	0.2137	-4.0673772	-8.69e-01	25.26	MIR1248	microRNA 1248
51763	2.45e-02	5.47e-05	0.0538	-4.034725	-2.17e-01	426.33	INPP5K	inositol polyphosphate-5-phosphatase K
26834	2.62e-02	6.20e-05	0.3036	-4.0050939	-1.22	499.57	RNU4-2	RNA, U4 small nuclear 2
26831	2.62e-02	6.10e-05	0.3315	-4.008935	-1.33	24.49	RNU5A-1	RNA, U5A small nuclear 1
26851	2.62e-02	6.03e-05	0.4398	-4.0117023	-1.76	1741.41	SNORD3B-1	small nucleolar RNA, C/D box 3B-1
6085	2.70e-02	6.49e-05	0.5832	-3.9940692	-2.33	500.63	RNY3	RNA, Ro60-associated Y3
780851	2.94e-02	7.21e-05	0.3922	-3.9693518	-1.56	32898.35	SNORD3A	small nucleolar RNA, C/D box 3A
105369305	2.96e-02	7.38e-05	0.122	3.9637866	4.84e-01	29.89	LOC105369305	uncharacterized LOC105369305
105377862	3.01e-02	7.64e-05	0.2462	3.9555543	9.74e-01	29.01	LOC105377862	uncharacterized LOC105377862
26784	3.03e-02	7.83e-05	0.2105	-3.9494864	-8.31e-01	25.2	SNORA64	small nucleolar RNA, H/ACA box 64
134637	3.21e-02	8.59e-05	0.056	3.9273391	2.20e-01	226.18	ADAT2	adenosine deaminase tRNA specific 2
7264	3.21e-02	8.54e-05	0.0745	-3.9288282	-2.93e-01	220.68	GFUS	GDP-L-fucose synthase
51554	3.28e-02	8.91e-05	0.1114	3.9184128	4.37e-01	47.27	ACKR4	atypical chemokine receptor 4
6080	3.72e-02	1.04e-04	0.2027	-3.8802756	-7.87e-01	1863.56	SNORA73A	small nucleolar RNA, H/ACA box 73A
102724364	3.72e-02	1.04e-04	0.2966	-3.8819251	-1.15	1242.37	SEC22B4P	SEC22 homolog B4, pseudogene
3576	3.93e-02	1.12e-04	0.5557	-3.8629994	-2.15	50.11	CXCL8	C-X-C motif chemokine ligand 8
51379	4.16e-02	1.21e-04	0.0585	3.8447381	2.25e-01	675.53	CRLF3	cytokine receptor like factor 3
107984499	4.41e-02	1.31e-04	0.2034	3.8238783	7.78e-01	20.09	LOC107984499	uncharacterized LOC107984499
146050	4.41e-02	1.32e-04	0.0553	-3.8234383	-2.12e-01	660.23	ZSCAN29	zinc finger and SCAN domain containing 29
64901	4.74e-02	1.44e-04	0.1025	3.8020038	3.90e-01	491.49	RANBP17	RAN binding protein 17
101928570	4.87e-02	1.50e-04	0.2078	3.7913311	7.88e-01	34.96	LOC101928570	uncharacterized LOC101928570
7975	4.90e-02	1.65e-04	0.0905	-3.767476	-3.41e-01	419.31	MAFK	MAF bZIP transcription factor K
55806	4.90e-02	1.66e-04	0.1126	-3.7657221	-4.24e-01	714.72	HR	HR lysine demethylase and nuclear receptor corepressor
22873	4.90e-02	1.61e-04	0.0517	3.7738692	1.95e-01	1790.45	DZIP1	DAZ interacting zinc finger protein 1
2353	4.90e-02	1.65e-04	0.3327	-3.7670285	-1.25	1107.37	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
374650	4.90e-02	1.63e-04	0.0953	3.7698882	3.59e-01	108.31	GOLGA6L5P	golgin A6 family like 5, pseudogene
84527	4.90e-02	1.64e-04	0.0841	3.7692111	3.17e-01	608.68	ZNF559	zinc finger protein 559
7538	4.90e-02	1.56e-04	0.4121	-3.7818859	-1.56	191.72	ZFP36	ZFP36 ring finger protein
102724117	6.00e-02	2.06e-04	0.0837	3.71159	3.10e-01	86.73	LOC102724117	golgin subfamily A member 6-like protein 4
7546	6.26e-02	2.18e-04	0.1599	3.6976902	5.91e-01	112.19	ZIC2	Zic family member 2
6540	6.33e-02	2.23e-04	0.2431	3.6914227	8.97e-01	196.89	SLC6A13	solute carrier family 6 member 13
26266	6.74e-02	2.40e-04	0.3683	3.6723995	1.35	198.19	SLC13A4	solute carrier family 13 member 4
2354	7.13e-02	2.58e-04	0.4317	-3.6546219	-1.58	163.43	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
26781	7.63e-02	2.79e-04	0.1904	-3.6341068	-6.92e-01	28.21	SNORA67	small nucleolar RNA, H/ACA box 67
3303	7.99e-02	2.96e-04	0.434	-3.6191558	-1.57	5505.1	HSPA1A	heat shock protein family A (Hsp70) member 1A
105375631	8.08e-02	3.06e-04	0.116	3.6101709	4.19e-01	53.63	LOC105375631	LINE-1 retrotransposable element ORF2 protein-like
55304	8.08e-02	3.06e-04	0.1942	3.6099015	7.01e-01	59.85	SPTLC3	serine palmitoyltransferase long chain base subunit 3
100132057	8.10e-02	3.23e-04	0.0801	3.595928	2.88e-01	151.87	PDE4DIPP6	PDE4DIP pseudogene 6
101927591	8.10e-02	3.22e-04	0.1212	3.5972092	4.36e-01	65.26	DPP10-AS3	DPP10 antisense RNA 3
401024	8.10e-02	3.34e-04	0.1228	3.5875654	4.41e-01	459.59	FSIP2	fibrous sheath interacting protein 2
30	8.10e-02	3.23e-04	0.0654	-3.595887	-2.35e-01	472.28	ACAA1	acetyl-CoA acyltransferase 1
101929770	8.10e-02	3.28e-04	0.1023	3.5922837	3.67e-01	32.12	LOC101929770	uncharacterized LOC101929770
619565	8.10e-02	3.29e-04	0.3181	-3.5910384	-1.14	43.06	SNORA52	small nucleolar RNA, H/ACA box 52
871	8.10e-02	3.36e-04	0.5381	-3.5860642	-1.93	354.17	SERPINH1	serpin family H member 1
284099	8.10e-02	3.21e-04	0.1182	3.5974135	4.25e-01	67.99	C17orf78	chromosome 17 open reading frame 78
54796	8.16e-02	3.42e-04	0.2301	3.5813913	8.24e-01	66.44	BNC2	basonuclin 2
134728	8.34e-02	3.53e-04	0.0856	3.5728812	3.06e-01	346.4	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1
23089	8.74e-02	3.78e-04	0.066	3.5551038	2.35e-01	4452.56	PEG10	paternally expressed 10
112268066	8.74e-02	3.76e-04	0.1707	3.5567167	6.07e-01	20.67	LOC112268066	
84264	8.86e-02	3.87e-04	0.0796	-3.5486679	-2.83e-01	172.5	HAGHL	hydroxyacylglutathione hydrolase like
677820	9.05e-02	3.99e-04	0.2613	-3.5405686	-9.25e-01	12.72	SNORA38	small nucleolar RNA, H/ACA box 38
8028	9.36e-02	4.25e-04	0.049	3.5238532	1.73e-01	1165.4	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor
55089	9.36e-02	4.26e-04	0.2203	3.5235924	7.76e-01	21.92	SLC38A4	solute carrier family 38 member 4
3949	9.36e-02	4.19e-04	0.2023	-3.5277924	-7.14e-01	518.34	LDLR	low density lipoprotein receptor
105370440	9.47e-02	4.35e-04	0.1646	3.5179425	5.79e-01	15.18	LOC105370440	uncharacterized LOC105370440
6047	9.64e-02	4.47e-04	0.0381	-3.5107232	-1.34e-01	862.67	RNF4	ring finger protein 4
107986116	1.03e-01	4.82e-04	0.089	3.4904208	3.10e-01	68.34	LOC107986116	uncharacterized LOC107986116
