GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3002	3.89e-50	2.02e-54	0.2644	15.534648	4.10718817	18158.09	GZMB	granzyme B
51248	3.36e-40	3.49e-44	0.1363	13.9425201	1.90035922	807.39	PDZD11	PDZ domain containing 11
3001	7.57e-36	1.18e-39	0.2989	13.1776885	3.93938013	11213.33	GZMA	granzyme A
4830	2.75e-34	5.72e-38	0.2427	12.8814668	3.12678923	1076.54	NME1	NME/NM23 nucleoside diphosphate kinase 1
81873	1.10e-33	2.86e-37	0.1224	12.7567456	1.56105006	1693.33	ARPC5L	actin related protein 2/3 complex subunit 5 like
3418	7.06e-33	2.20e-36	0.1489	12.5967351	1.87589401	5443.98	IDH2	isocitrate dehydrogenase (NADP(+)) 2
2171	7.98e-33	2.90e-36	0.2806	12.5748462	3.52791902	646.37	FABP5	fatty acid binding protein 5
1117	4.64e-32	1.93e-35	0.2705	12.4243665	3.36058955	1570.09	CHI3L2	chitinase 3 like 2
51303	7.23e-32	3.38e-35	0.196	12.3793452	2.42576933	2517.37	FKBP11	FKBP prolyl isomerase 11
154467	1.35e-31	7.02e-35	0.2324	12.3205805	2.86288785	1142.26	CCDC167	coiled-coil domain containing 167
3838	1.71e-31	9.76e-35	0.185	12.2940027	2.27421934	1707.32	KPNA2	karyopherin subunit alpha 2
100	3.46e-31	2.16e-34	0.2116	12.2296854	2.58802768	2491.52	ADA	adenosine deaminase
5690	3.92e-31	2.65e-34	0.1255	12.2129537	1.53235932	4076.6	PSMB2	proteasome 20S subunit beta 2
9125	7.03e-31	5.11e-34	0.0941	12.1593856	1.14464393	1924.89	CNOT9	CCR4-NOT transcription complex subunit 9
3336	1.18e-30	9.23e-34	0.2125	12.1110349	2.5738717	803.06	HSPE1	heat shock protein family E (Hsp10) member 1
952	2.53e-30	2.10e-33	0.2481	12.0433876	2.98760057	1518.9	CD38	CD38 molecule
4818	5.72e-30	5.06e-33	0.2418	11.97077	2.89455712	39779.82	NKG7	natural killer cell granule protein 7
3925	7.40e-30	6.93e-33	0.2732	11.9446273	3.2627862	3614.09	STMN1	stathmin 1
5686	8.14e-30	8.04e-33	0.1656	11.9322199	1.97645389	4610.83	PSMA5	proteasome 20S subunit alpha 5
518	9.44e-30	9.81e-33	0.1324	11.9156411	1.57770645	4061.34	ATP5MC3	ATP synthase membrane subunit c locus 3
55839	5.67e-29	6.19e-32	0.2088	11.7611329	2.45598699	529.85	CENPN	centromere protein N
10606	9.34e-29	1.07e-31	0.1724	11.7149822	2.01918333	1393.25	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
84300	1.18e-28	1.42e-31	0.1694	11.6910459	1.9801611	809.37	UQCC2	ubiquinol-cytochrome c reductase complex assembly factor 2
3902	1.57e-28	1.96e-31	0.3088	11.6633334	3.60123199	1592.92	LAG3	lymphocyte activating 3
79022	1.83e-28	2.38e-31	0.1845	11.6469045	2.1483318	1080.78	TMEM106C	transmembrane protein 106C
4678	2.09e-28	2.83e-31	0.134	11.6321834	1.55876335	2975.33	NASP	nuclear autoantigenic sperm protein
7873	5.69e-28	7.98e-31	0.1833	11.5432717	2.11568691	2265.26	MANF	mesencephalic astrocyte derived neurotrophic factor
6636	6.08e-28	8.85e-31	0.1728	11.5344395	1.99278719	1109.71	SNRPF	small nuclear ribonucleoprotein polypeptide F
1234	6.11e-28	9.84e-31	0.2238	11.5252907	2.57883354	1495.67	CCR5	C-C motif chemokine receptor 5
2237	6.11e-28	9.66e-31	0.2275	11.5268381	2.62238235	917.3	FEN1	flap structure-specific endonuclease 1
5721	6.11e-28	9.50e-31	0.1996	11.5283053	2.3012131	13285.11	PSME2	proteasome activator subunit 2
6241	2.13e-27	3.54e-30	0.3797	11.4144147	4.33359979	2649	RRM2	ribonucleotide reductase regulatory subunit M2
9645	5.03e-27	8.63e-30	0.2593	-11.336735	-2.93924127	7196.99	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
51081	6.57e-27	1.16e-29	0.1281	11.3107483	1.44916265	1386.17	MRPS7	mitochondrial ribosomal protein S7
