GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
286	5.99e-31	3.19e-35	0.3704	-12.383925	-4.5869355	3821.25	ANK1	ankyrin 1
343171	1.25e-30	1.33e-34	0.4092	-12.269071	-5.0204668	2570.4	OR2W3	olfactory receptor family 2 subfamily W member 3
55363	1.07e-29	1.70e-33	0.3899	-12.0606677	-4.7023048	1015.95	HEMGN	hemogen
25893	1.19e-29	2.54e-33	0.4031	-12.0278778	-4.8479609	16741.97	TRIM58	tripartite motif containing 58
7145	6.38e-29	1.70e-32	0.4103	-11.8697264	-4.8698903	7613.2	TNS1	tensin 1
6622	1.47e-28	4.70e-32	0.3925	-11.7842732	-4.6258726	13801.05	SNCA	synuclein alpha
84985	1.65e-28	6.17e-32	0.6516	-11.7614496	-7.6634168	257.85	FAM83A	family with sequence similarity 83 member A
2235	2.46e-28	1.05e-31	0.3481	-11.7165566	-4.0786312	2964.36	FECH	ferrochelatase
8991	6.04e-28	2.90e-31	0.4128	-11.6301707	-4.8010259	19991.8	SELENBP1	selenium binding protein 1
103021294	2.83e-27	1.51e-30	0.3487	-11.4883318	-4.0054764	6721.39	ABALON	apoptotic BCL2L1-antisense long non-coding RNA
23762	3.39e-27	1.99e-30	0.4192	-11.464516	-4.8055222	6827.58	OSBP2	oxysterol binding protein 2
2038	4.48e-27	2.86e-30	0.413	-11.4329013	-4.7214918	9053.31	EPB42	erythrocyte membrane protein band 4.2
5909	9.76e-27	6.76e-30	0.5455	-11.3580856	-6.1952731	2908.91	RAP1GAP	RAP1 GTPase activating protein
389860	1.04e-26	7.72e-30	0.4357	-11.3464563	-4.9436406	3079.97	PAGE2B	PAGE family member 2B
6521	4.96e-26	3.97e-29	0.4028	-11.2024638	-4.5119999	35121.59	SLC4A1	solute carrier family 4 member 1 (Diego blood group)
598	3.61e-24	3.08e-27	0.3406	-10.8102054	-3.6822157	38157.99	BCL2L1	BCL2 like 1
6563	3.86e-24	3.50e-27	0.3667	-10.7984999	-3.9593635	1634.37	SLC14A1	solute carrier family 14 member 1 (Kidd blood group)
3848	1.42e-23	1.36e-26	0.4782	-10.672888	-5.1035878	7759.24	KRT1	keratin 1
2039	8.32e-23	8.42e-26	0.3613	-10.5023811	-3.7949539	45301.92	DMTN	dematin actin binding protein
6710	2.62e-22	2.80e-25	0.2912	-10.3885402	-3.0250795	3114.34	SPTB	spectrin beta, erythrocytic
4784	2.69e-22	3.01e-25	0.3922	-10.3813575	-4.0714148	3585.38	NFIX	nuclear factor I X
23365	2.85e-22	3.33e-25	0.3024	-10.3717379	-3.1365429	1082.76	ARHGEF12	Rho guanine nucleotide exchange factor 12
6535	6.17e-22	7.56e-25	0.3634	-10.2931861	-3.7408825	4842.5	SLC6A8	solute carrier family 6 member 8
759	6.75e-22	8.63e-25	0.4703	-10.2804689	-4.8349648	9991.25	CA1	carbonic anhydrase 1
10644	1.25e-21	1.67e-24	0.3578	-10.2166118	-3.6555312	2632.87	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
9645	1.26e-21	1.74e-24	0.2254	-10.2127495	-2.3018581	6838.19	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
9911	2.96e-21	4.26e-24	0.3515	-10.1253877	-3.5589433	3507.66	TMCC2	transmembrane and coiled-coil domain family 2
212	4.57e-21	6.81e-24	0.481	-10.079465	-4.847734	187856.74	ALAS2	5'-aminolevulinate synthase 2
7111	7.14e-21	1.10e-23	0.3181	-10.0320015	-3.1914164	1674.91	TMOD1	tropomodulin 1
25793	8.01e-21	1.28e-23	0.2599	-10.0173011	-2.603209	36599.35	FBXO7	F-box protein 7
115330	8.84e-21	1.46e-23	0.3501	-10.0042994	-3.502021	2519.02	GPR146	G protein-coupled receptor 146
653562	1.47e-20	2.50e-23	0.4001	-9.9507297	-3.981462	56.5	SLC6A10PB	solute carrier family 6 member 8 pseudogene
6536	1.66e-20	2.91e-23	0.3882	-9.9357401	-3.8571051	365.49	SLC6A9	solute carrier family 6 member 9
55437	1.91e-20	3.47e-23	0.3144	-9.9182683	-3.1187814	9410.27	STRADB	STE20 related adaptor beta
8531	1.98e-20	3.69e-23	0.3364	-9.9119904	-3.3345151	41257.38	YBX3	Y-box binding protein 3
400058	2.67e-20	5.11e-23	0.3843	-9.8794177	-3.7966661	60.54	MKRN9P	makorin ring finger protein 9, pseudogene
105379392	3.24e-20	6.39e-23	0.3782	-9.8570631	-3.7284321	497.42	LOC105379392	uncharacterized LOC105379392
440359	3.62e-20	7.37e-23	0.3446	-9.8427121	-3.391842	169.27	YBX3P1	Y-box binding protein 3 pseudogene 1
