GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
9645	2.14e-64	1.16e-68	0.1841	-17.512231	-3.2231999	6775.62	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
5909	9.84e-60	1.06e-63	0.4816	-16.849269	-8.1143864	2916.44	RAP1GAP	RAP1 GTPase activating protein
57118	5.50e-57	8.91e-61	0.1536	-16.446333	-2.5267252	3435	CAMK1D	calcium/calmodulin dependent protein kinase ID
105371816	3.46e-56	7.47e-60	0.269	-16.317004	-4.3897471	5227.13	LOC105371816	
84658	7.44e-56	2.01e-59	0.1736	-16.256526	-2.8216118	3997.63	ADGRE3	adhesion G protein-coupled receptor E3
6521	6.68e-52	2.16e-55	0.3424	-15.67725	-5.3681935	35344.93	SLC4A1	solute carrier family 4 member 1 (Diego blood group)
4059	1.90e-50	7.18e-54	0.4884	-15.453218	-7.5467735	514.51	BCAM	basal cell adhesion molecule (Lutheran blood group)
116151	1.01e-49	4.37e-53	0.2716	-15.33635	-4.1657435	15158.52	FAM210B	family with sequence similarity 210 member B
343171	5.46e-49	2.66e-52	0.3596	-15.218755	-5.4728916	2605.04	OR2W3	olfactory receptor family 2 subfamily W member 3
952	1.68e-48	9.05e-52	0.1957	15.138331	2.9630447	2002.44	CD38	CD38 molecule
3580	2.64e-48	1.57e-51	0.208	15.102219	3.1408547	3608.69	CXCR2P1	C-X-C motif chemokine receptor 2 pseudogene 1
65987	1.11e-47	7.22e-51	0.375	15.001067	5.6249166	244.77	KCTD14	potassium channel tetramerization domain containing 14
100289279	3.35e-47	2.35e-50	0.4166	-14.922448	-6.2168499	138.76	CNTNAP3C	contactin associated protein family member 3C
23762	9.59e-47	7.25e-50	0.3424	-14.847226	-5.0834003	6926.46	OSBP2	oxysterol binding protein 2
8531	3.53e-46	2.86e-49	0.2777	-14.754851	-4.0973945	41424.08	YBX3	Y-box binding protein 3
84953	1.39e-45	1.28e-48	0.2749	-14.653571	-4.0280767	723.92	MICALCL	replaced by ID 9645
359845	1.39e-45	1.28e-48	0.1448	-14.653716	-2.1225407	4551.58	RFLNB	refilin B
8991	4.17e-45	4.06e-48	0.3788	-14.574913	-5.5202947	20150.86	SELENBP1	selenium binding protein 1
