GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
54663	0.00000135	5.43e-11	0.3742	-6.558764	-2.45	4153.76	WDR74	WD repeat domain 74
105372046	0.00274719	2.21e-07	0.4568	-5.18103511	-2.37	16.14	LOC105372046	uncharacterized LOC105372046
26821	0.00540952	6.52e-07	0.4405	-4.97521591	-2.19	15.8	SNORA74A	small nucleolar RNA, H/ACA box 74A
677775	0.01381338	2.22e-06	0.2233	-4.73238074	-1.06	3384.56	SCARNA5	small Cajal body-specific RNA 5
105378209	0.01575427	3.16e-06	0.3887	-4.65990798	-1.81	22.85	LOC105378209	uncharacterized LOC105378209
115111	0.05189362	1.46e-05	0.5219	4.3348106	2.26	18.81	SLC26A7	solute carrier family 26 member 7
692148	0.05189362	1.33e-05	0.255	-4.35483433	-1.11	6410.68	SCARNA10	small Cajal body-specific RNA 10
55655	0.05452211	1.75e-05	0.5742	-4.29439363	-2.47	116.65	NLRP2	NLR family pyrin domain containing 2
102724078	0.05483867	1.98e-05	0.3041	4.26689539	1.30	12.92	LOC102724078	uncharacterized LOC102724078
3645	0.07038837	2.83e-05	0.6004	4.18698521	2.51	26.67	INSRR	insulin receptor related receptor
162998	0.07668452	3.39e-05	0.6034	4.14570689	2.50	8.04	OR7D2	olfactory receptor family 7 subfamily D member 2
480	0.07693238	4.39e-05	0.2721	-4.08569738	-1.11	93.21	ATP1A4	ATPase Na+/K+ transporting subunit alpha 4
107984691	0.07693238	4.49e-05	0.4302	-4.08071661	-1.76	30.53	LOC107984691	
5055	0.07693238	4.39e-05	0.6218	-4.08618243	-2.54	11.82	SERPINB2	serpin family B member 2
107987401	0.07693238	4.63e-05	0.2924	-4.0733344	-1.19	104.39	LOC107987401	uncharacterized LOC107987401
103344926	0.08230438	5.29e-05	0.2712	-4.04249097	-1.10	119.95	PYDC2-AS1	PYDC2 antisense RNA 1
23089	0.09107715	6.76e-05	0.1007	3.98451796	4.01e-01	4900.55	PEG10	paternally expressed 10
100463486	0.09107715	6.95e-05	0.4357	3.97800256	1.73	121.23	MTRNR2L8	MT-RNR2 like 8 (pseudogene)
283683	0.09107715	6.22e-05	0.1453	-4.00415617	-5.82e-01	377.34	LOC283683	uncharacterized LOC283683
101928669	0.10928275	8.78e-05	0.2698	-3.92210887	-1.06	123.56	LOC101928669	uncharacterized LOC101928669
245912	0.12669363	1.07e-04	0.3477	3.87448586	1.35	52.34	DEFB109A	defensin beta 109A (pseudogene)
4233	0.13525696	1.25e-04	0.2424	-3.83623249	-9.30e-01	718.55	MET	MET proto-oncogene, receptor tyrosine kinase
105370610	0.13525696	1.24e-04	0.342	-3.83800699	-1.31	140.42	LINC02296	long intergenic non-protein coding RNA 2296
64220	0.15052347	1.45e-04	0.5692	3.79933842	2.16	13.05	STRA6	signaling receptor and transporter of retinol STRA6
54796	0.21182316	2.13e-04	0.3682	3.70346581	1.36	79.84	BNC2	basonuclin 2
283731	0.2213085	2.31e-04	0.2398	3.68235956	8.83e-01	30.67	LOC283731	uncharacterized LOC283731
100506791	0.2288748	2.85e-04	0.3458	-3.62861616	-1.25	50.38	LINC01511	long intergenic non-protein coding RNA 1511
119587	0.2288748	2.84e-04	0.2531	3.62917623	9.19e-01	60.04	CPXM2	carboxypeptidase X, M14 family member 2
105372028	0.2288748	2.51e-04	0.5003	-3.66139065	-1.83	14.39	LOC105372028	uncharacterized LOC105372028
140689	0.2288748	2.79e-04	0.2306	-3.63389581	-8.38e-01	801.14	CBLN4	cerebellin 4 precursor
3053	0.2288748	2.77e-04	0.3684	3.6358314	1.34	122.95	SERPIND1	serpin family D member 1
105377286	0.2443915	3.23e-04	0.193	-3.59576302	-6.94e-01	187.42	LOC105377286	uncharacterized LOC105377286
677841	0.2443915	3.44e-04	0.4649	-3.58005477	-1.66	21.95	SNORA74B	small nucleolar RNA, H/ACA box 74B
5550	0.2443915	3.34e-04	0.0936	-3.58725221	-3.36e-01	979.5	PREP	prolyl endopeptidase
677832	0.2443915	3.33e-04	0.337	-3.58847466	-1.21	53.34	SNORA53	small nucleolar RNA, H/ACA box 53
8808	0.26587797	4.16e-04	0.2068	-3.52951989	-7.30e-01	102.19	IL1RL2	interleukin 1 receptor like 2
1836	0.26587797	4.09e-04	0.2737	3.53446995	9.67e-01	387.12	SLC26A2	solute carrier family 26 member 2
101928300	0.26587797	4.06e-04	0.1987	-3.53633346	-7.03e-01	60.9	CABP1-DT	CABP1 divergent transcript
220594	0.26587797	4.16e-04	0.2286	-3.52944302	-8.07e-01	729.14	USP32P2	ubiquitin specific peptidase 32 pseudogene 2
5915	0.26617666	4.46e-04	0.1821	-3.51119618	-6.39e-01	517.62	RARB	retinoic acid receptor beta
79875	0.26617666	4.31e-04	0.2492	3.52057492	8.77e-01	232.81	THSD4	thrombospondin type 1 domain containing 4
284047	0.26617666	4.49e-04	0.1689	-3.5094866	-5.93e-01	2148.33	CCDC144BP	coiled-coil domain containing 144B, pseudogene
692225	0.27344519	4.72e-04	0.4019	-3.49604188	-1.41	108.28	SNORD94	small nucleolar RNA, C/D box 94
23213	0.27717197	4.90e-04	0.2072	3.48628342	7.22e-01	666.13	SULF1	sulfatase 1
3576	0.27907341	5.15e-04	0.7102	-3.47299214	-2.47	20.14	CXCL8	C-X-C motif chemokine ligand 8
107986631	0.27907341	5.54e-04	0.5554	-3.45341204	-1.92	6.43	LOC107986631	uncharacterized LOC107986631
26266	0.27907341	5.67e-04	0.6147	3.44694652	2.12	244.9	SLC13A4	solute carrier family 13 member 4
107984405	0.27907341	5.40e-04	0.3912	-3.46000978	-1.35	17.24	LOC107984405	uncharacterized LOC107984405
729305	0.27907341	5.83e-04	0.4829	-3.43949344	-1.66	57.92	LINC02714	long intergenic non-protein coding RNA 2714
105370361	0.27907341	5.44e-04	0.6613	-3.45815638	-2.29	6.28	LINC03032	long intergenic non-protein coding RNA 3032
101927921	0.27907341	5.78e-04	0.4195	-3.44192291	-1.44	16.28	LINC01478	long intergenic non-protein coding RNA 1478
101927345	0.27907341	5.16e-04	0.3592	-3.47232057	-1.25	44.51	LOC101927345	putative ankyrin repeat domain-containing protein 20A12
80832	0.28257592	6.01e-04	0.5609	3.43095209	1.92	13.26	APOL4	apolipoprotein L4
283238	0.28661854	6.22e-04	0.2427	-3.42201783	-8.30e-01	76.44	SLC22A24	solute carrier family 22 member 24
5730	0.29712325	6.56e-04	0.3042	3.40721407	1.04	5701.67	PTGDS	prostaglandin D2 synthase
