GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
54663	5.69e-12	2.29e-16	0.343	-8.2058017	-2.8148232	4751.54	WDR74	WD repeat domain 74
8685	3.58e-05	3.82e-09	0.4114	5.891589	2.42389666	16.47	MARCO	macrophage receptor with collagenous structure
677832	3.58e-05	4.32e-09	0.2903	-5.8713065	-1.70438368	50.54	SNORA53	small nucleolar RNA, H/ACA box 53
26870	5.07e-05	8.16e-09	0.4382	-5.7650498	-2.52639802	1337.85	RNU1-2	RNA, U1 small nuclear 2
54716	8.39e-05	1.69e-08	0.3204	5.6411012	1.80717833	94.27	SLC6A20	solute carrier family 6 member 20
2170	1.08e-04	2.60e-08	0.0853	-5.5662357	-0.47462189	1491.73	FABP3	fatty acid binding protein 3
6060	1.92e-04	5.41e-08	0.501	-5.4371426	-2.72377805	2095.72	RNU1-4	RNA, U1 small nuclear 4
692086	5.63e-04	1.81e-07	0.2443	-5.2175132	-1.27453812	659.29	SNORD17	small nucleolar RNA, C/D box 17
4969	6.35e-04	2.30e-07	0.2873	5.1730097	1.48606068	203.84	OGN	osteoglycin
692225	7.01e-04	2.83e-07	0.3685	-5.1347025	-1.89237718	107.95	SNORD94	small nucleolar RNA, C/D box 94
26821	1.25e-03	5.54e-07	0.418	-5.0066667	-2.09270223	20.61	SNORA74A	small nucleolar RNA, H/ACA box 74A
26266	2.73e-03	1.32e-06	0.3745	4.836818	1.81142419	147.64	SLC13A4	solute carrier family 13 member 4
677841	3.15e-03	1.67e-06	0.3882	-4.7893261	-1.85929227	22.84	SNORA74B	small nucleolar RNA, H/ACA box 74B
6482	3.15e-03	1.77e-06	0.0785	-4.7775635	-0.37492286	649.3	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
26832	3.69e-03	2.23e-06	0.617	-4.7315926	-2.91936532	41.5	RNU5B-1	RNA, U5B small nuclear 1
3053	4.11e-03	2.65e-06	0.2027	4.6961926	0.95196273	79.79	SERPIND1	serpin family D member 1
283726	5.67e-03	3.88e-06	0.2024	4.6174804	0.93452615	90.07	SAXO2	stabilizer of axonemal microtubules 2
105374506	7.53e-03	5.46e-06	0.2577	4.5462283	1.17146411	40.67	LOC105374506	uncharacterized LOC105374506
4499	7.91e-03	6.05e-06	0.3509	4.524472	1.58759126	148.93	MT1M	metallothionein 1M
610	8.66e-03	6.98e-06	0.1038	-4.494428	-0.46662173	692.65	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
4958	9.12e-03	7.74e-06	0.253	4.4723813	1.13170607	85.67	OMD	osteomodulin
619565	9.12e-03	8.08e-06	0.4743	-4.4629223	-2.11659684	37.59	SNORA52	small nucleolar RNA, H/ACA box 52
107985599	9.28e-03	8.60e-06	0.1395	4.4497563	0.62061748	173.78	LOC107985599	
730	9.86e-03	9.54e-06	0.3829	4.4274524	1.69529426	105.91	C7	complement C7
24147	1.01e-02	1.01e-05	0.1121	-4.4143237	-0.49477013	142.44	FJX1	four-jointed box kinase 1
6085	1.21e-02	1.32e-05	0.8628	-4.3571398	-3.75927889	455.94	RNY3	RNA, Ro60-associated Y3
107984499	1.21e-02	1.36e-05	0.2863	4.3495614	1.24522165	15.54	LOC107984499	uncharacterized LOC107984499
4604	1.21e-02	1.28e-05	0.1958	4.362652	0.8543042	417.12	MYBPC1	myosin binding protein C1
105379574	1.36e-02	1.59e-05	0.4714	-4.3158316	-2.03467453	227.69	LOC105379574	uncharacterized LOC105379574
127829	1.47e-02	1.78e-05	0.0988	-4.2913873	-0.4238072	887.13	ARL8A	ADP ribosylation factor like GTPase 8A
107984234	1.47e-02	1.83e-05	0.2165	4.284359	0.92740791	46.8	LOC107984234	
105369192	1.78e-02	2.36e-05	0.3853	4.2273644	1.62859989	35.23	PPM1K-DT	PPM1K divergent transcript
653234	1.78e-02	2.36e-05	0.1995	4.2275757	0.84353496	41.23	AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene
22925	1.83e-02	2.50e-05	0.1569	4.2145248	0.66110674	311.32	PLA2R1	phospholipase A2 receptor 1
149175	1.88e-02	2.74e-05	0.0741	-4.1939906	-0.31086086	389.7	MANEAL	mannosidase endo-alpha like
26863	1.88e-02	2.69e-05	0.4776	-4.1985095	-2.00535914	246.64	RNVU1-18	RNA, variant U1 small nuclear 18
1509	1.88e-02	2.81e-05	0.0899	-4.1887404	-0.37645334	1974.42	CTSD	cathepsin D
259173	1.90e-02	2.91e-05	0.1442	4.1807473	0.60282029	241.98	ALS2CL	ALS2 C-terminal like
2303	2.00e-02	3.22e-05	0.4412	4.1570266	1.8339935	8.44	FOXC2	forkhead box C2
101928969	2.00e-02	3.22e-05	0.2525	4.1570757	1.04948117	18.94	RHOXF1-AS1	RHOXF1 antisense RNA 1
107986361	2.03e-02	3.34e-05	0.1273	4.148621	0.5279916	334.1	LOC107986361	
134637	2.23e-02	3.78e-05	0.0683	4.1205908	0.28142482	197.34	ADAT2	adenosine deaminase tRNA specific 2
677797	2.27e-02	4.01e-05	0.3411	-4.1070344	-1.40077321	32.17	SNORA7B	small nucleolar RNA, H/ACA box 7B
7422	2.27e-02	4.34e-05	0.2117	-4.0887829	-0.86556948	653.35	VEGFA	vascular endothelial growth factor A
79989	2.27e-02	4.08e-05	0.0947	4.1026839	0.38843451	158.95	TTC26	tetratricopeptide repeat domain 26
64423	2.27e-02	4.39e-05	0.1944	-4.086069	-0.79431363	1256.97	INF2	inverted formin 2
875	2.27e-02	4.22e-05	0.0737	-4.0950117	-0.30193183	393.87	CBS	cystathionine beta-synthase
84536	2.27e-02	4.20e-05	0.1796	-4.0963254	-0.73571374	60.14	LINC01547	long intergenic non-protein coding RNA 1547
341019	2.34e-02	4.62e-05	0.1376	4.0738742	0.56038559	106.2	DCDC1	doublecortin domain containing 1
105378798	2.41e-02	4.94e-05	0.2248	4.0582532	0.91244025	97.11	LOC105378798	uncharacterized LOC105378798
26831	2.41e-02	4.96e-05	0.5893	-4.0576048	-2.39108789	23.58	RNU5A-1	RNA, U5A small nuclear 1
64901	2.43e-02	5.28e-05	0.1305	4.0429622	0.52747366	422.11	RANBP17	RAN binding protein 17
400110	2.43e-02	5.21e-05	0.5491	4.0458572	2.22139002	11.32	ANKRD20A19P	ankyrin repeat domain 20 family member A19, pseudogene
54413	2.43e-02	5.20e-05	0.1073	-4.0466169	-0.43412169	1195.37	NLGN3	neuroligin 3
26869	2.44e-02	5.61e-05	0.6276	-4.0285025	-2.52814399	8075.59	RNU1-3	RNA, U1 small nuclear 3
101928590	2.44e-02	5.51e-05	0.1564	4.0328129	0.63055867	348.68	GPM6A-DT	GPM6A divergent transcript
5881	2.44e-02	5.53e-05	0.1113	-4.0321831	-0.44863943	173.63	RAC3	Rac family small GTPase 3
105373455	2.45e-02	5.87e-05	0.2444	4.0180615	0.98199333	25.62	LOC105373455	
51554	2.45e-02	5.92e-05	0.1958	4.0160212	0.78620237	41.74	ACKR4	atypical chemokine receptor 4
9454	2.45e-02	5.88e-05	0.1664	-4.0176298	-0.66833613	121.78	HOMER3	homer scaffold protein 3
677808	2.45e-02	6.03e-05	0.3548	-4.0117427	-1.42332542	38.08	SNORA23	small nucleolar RNA, H/ACA box 23
3645	2.58e-02	6.46e-05	0.5405	3.9954796	2.15963026	16.07	INSRR	insulin receptor related receptor
107986013	2.81e-02	7.24e-05	0.2111	3.9681824	0.83779103	20	LOC107986013	
21	2.81e-02	7.16e-05	0.087	-3.9710656	-0.34536989	2337.07	ABCA3	ATP binding cassette subfamily A member 3
105378796	2.81e-02	7.37e-05	0.2003	3.9641694	0.79414916	124.57	LOC105378796	uncharacterized LOC105378796
54555	2.86e-02	7.59e-05	0.1028	-3.9568673	-0.40672492	379.01	DDX49	DEAD-box helicase 49
51379	2.92e-02	7.87e-05	0.0861	3.948366	0.33985578	605.83	CRLF3	cytokine receptor like factor 3
